,host,class
1529282,uocvplefrostbitecycz.com,dga
749044,highlandstore.com,legit
665491,fravsdd.blogspot.com.br,legit
1083999,hikqyx1rfh6wa25onc315bbs1e.com,dga
630488,xsounder.ru,legit
182323,prostocomp.net,legit
1803972,vdiykdkqfxbefkwuogcdm.cm,dga
1247911,dxjmellefrictionlessv.com,dga
1262095,eufisikathrinezad.com,dga
1430081,osicepictom.com,dga
2016118,kininaruarekore.com,legit
1785435,kipqtgbibnp.eu,dga
211721,animenk.tv,legit
309950,milofoundation.org,legit
1494411,smhtidablyhoosieraw.com,dga
544797,sailing.org.au,legit
1299335,gyzkmachuslazaroqok.com,dga
1191550,aorfpartbulkyf.com,dga
910552,realyields.com,legit
1021934,1yfaalw300chm1mxfos21bg10vn.org,dga
1117335,hxqdmfmbocnh.ru,dga
1013624,vouplpp.biz,dga
838732,afbs.ca,legit
453777,domavkusnee.ru,legit
473759,bladespro.co.uk,legit
1072570,1j0warh4u46ry1896bea8iauuk.biz,dga
1648666,lqfrrntbehrevgghkyv.com,dga
855381,bookwormroom.com,legit
84479,herpackinglist.com,legit
707462,vcarib.org,legit
1965548,economicprinciples.org,legit
310673,maestroviejo.es,legit
1879819,htmlpublish.com,legit
1627529,cjfpjxoplhsgc.com,dga
1480483,rrmhardenslavetusul.com,dga
1903578,rosszlanyok.hu,legit
1536145,vbcfenhancedysb.com,dga
1619618,zxhvvinskycattederifg.com,dga
1022453,rj44e71c4oq741ntztzp1hzzqlm.org,dga
929975,urbantreefarm.com,legit
1667834,ufuascaavjvm.com,dga
252278,magped.com,legit
1551378,vvorsagabardinedazyx.com,dga
2000487,ng-bootstrap.github.io,legit
163482,tversu.ru,legit
1792902,ornkdudw.pw,dga
1231656,dbarenhancedysb.com,dga
340238,birkebeiner.no,legit
1566855,wujiinalcentricem.com,dga
1868739,actionhowever.net,dga
1872440,suumo.jp,legit
240068,citi.pt,legit
2015288,hifunokoto.jp,legit
584671,free-businesscards.co.uk,legit
1288638,ggppiologistbikerepil.com,dga
2046689,kaspersky.pl,legit
604270,mailoutad.com,legit
1685889,flklqqypidhwsb.pw,dga
375187,macosworld.ru,legit
1860116,ufpnvzlxhjky.tv,dga
412260,idmaninsaatio.fi,legit
754696,completenorthamerica.com,legit
233111,norwaygeographical.com,legit
234194,auto-magnitola.ru,legit
1926634,clinicadam.com,legit
2008288,altinget.dk,legit
940013,xemanhdep.com,legit
637942,nuderetrovideos.com,legit
1136505,pjiyxketqrmh.xyz,dga
654294,as8.ru,legit
616818,sabt24.net,legit
255317,businessincameroon.com,legit
1667074,tvyqujwcjllgeie.com,dga
21323,centraldemangas.inf.br,legit
153203,kreacije.info,legit
349966,systemnetwork.it,legit
1745400,lvpvqqttnjmsbzp.com,dga
888869,kseriespros.com,legit
1326349,iobzepictom.com,dga
188451,songs.pk,legit
609180,phpkodlari.com,legit
1088716,hekgr61ordiz3mebbb61ljizi2.org,dga
285422,m2i.in,legit
1001780,14z8aib1vf4ssfv3f55c1xztabr.com,dga
1639567,hqluvcxi.com,dga
1312495,htatsagabardinedazyx.com,dga
1879768,skyscanner.com.au,legit
849839,arpminc.com,legit
754430,cityboyhens.com,legit
833207,pk38.com,legit
1430183,oslbsikathrinezad.com,dga
1251960,ecmssagabardinedazyx.com,dga
1783999,jmjrowlccgnrogyl.tw,dga
513986,dreamlandpublications.com,legit
1660567,qyofqvkkraxksbcym.com,dga
55008,purch.com,legit
146405,kadenkininaru.com,legit
1835565,qeudawyibotuyd.com,dga
1638123,haklasmmgpd.com,dga
1393113,mmooellefrictionlessv.com,dga
567746,xlovematures.com,legit
133262,pocketgames.ir,legit
1856675,ksxqzyfsnif.dyndns.org,dga
1956280,iranheadphone.com,legit
1588570,xzzqepictom.com,dga
267682,pengertianpakar.com,legit
1906428,go-gddq.com,legit
1964258,advisera.com,legit
490105,ruimtelijkeordening.be,legit
968312,jaroslawstadnicki.pl,legit
1953730,actvila.jp,legit
1857280,mfwchstque.mooo.com,dga
925392,thepimanifesto.com,legit
1143244,rksrqjglcbqb.com,dga
1022658,lvx7pf1fraj8m1v2dtsw19z95w8.net,dga
695958,lhpdesign.com,legit
1910353,outcometheprize.accountant,legit
1553143,vxtqsikathrinezad.com,dga
947957,educationaltopic.info,legit
578340,sogayhk01.wordpress.com,legit
1759546,usploluhgpefkw.com,dga
175059,sorozatabc.info,legit
1405873,nhwcererwyatanb.com,dga
1784571,jurrcimlkr.biz,dga
1177557,n2vkafv1n2tn.net,dga
932924,weeklycircularad.com,legit
1757235,sxrdqcmoorxifnqb.com,dga
792459,klamerbg.com,legit
522268,sexyteendb.com,legit
992286,promshop.biz,legit
1545893,vnubleasuredehydratorysagp.com,dga
1303089,hfmeleasuredehydratorysagp.com,dga
1287429,gepoepictom.com,dga
1302115,hdvdsikathrinezad.com,dga
132284,voirfilm.cc,legit
1755459,rsxgzldakrnrxhplvfqrcefihm.info,dga
1900768,darukade.com,legit
1701594,ixtyogmdwqkciqqgk.com,dga
967200,fnesilesia.pl,legit
1413418,nrwrinalcentricem.com,dga
1076084,1gmrsrs1qdqtjx1ah0aql1lezdrd.com,dga
1266531,fbvybyplaywobb.com,dga
25654,boxil.jp,legit
710225,healthy-kids.com.au,legit
440017,audionet.com,legit
967811,happylightshow.de,legit
1627460,cigrkhouyjmeafsi.com,dga
1339076,jjabsatformalisticirekb.com,dga
825606,mymart.kz,legit
587330,vittoriagroup.co.uk,legit
1714102,puzypug.com,dga
1898185,open2ch.net,legit
1943572,changpuak.ch,legit
1738216,gdrqdhwomrogrtus.org,dga
325260,net4all.ru,legit
1126098,ldodejklmwkk.com,dga
